,PRIO3.SAO,RAIZ4.SAO,ITUB4.SAO,IGTA3.SAO,ARZZ3.SAO,ENGI11.SAO,SLCE3.SAO,WEGE3.SAO,GGBR4.SAO,PSSA3.SAO
2019-09-18,3.52,,29.1484,45.6697,48.5759,47.2324,17.6737,11.7442,13.3948,25.7008
2019-09-19,3.624,,28.6605,46.6619,49.0193,48.7747,17.4921,11.5925,13.3649,25.9142
2019-09-20,3.646,,28.735,47.546,49.5218,49.2471,17.473,11.94,13.2152,25.6519
2019-09-23,3.65,,28.644,46.9762,48.2902,48.6494,17.6546,11.862,13.1754,26.0076
2019-09-24,3.622,,28.3463,46.4949,48.2803,48.4952,17.8649,11.7051,12.916,26.4521
2019-09-25,3.62,,28.6771,46.1707,48.2015,47.7819,17.645,11.8816,13.0756,25.9631
2019-09-26,3.502,,29.504,46.7503,48.7632,48.1964,17.3583,11.8816,13.0956,26.1143
2019-09-27,3.4,,29.38,46.1019,48.6548,47.6084,17.2053,11.8277,12.9958,26.1276
2019-09-30,3.484,,28.9665,46.6913,48.7927,48.1482,17.1002,11.8767,13.1255,26.1809
2019-10-01,3.41,,28.3088,46.1216,48.9504,47.5216,17.0237,11.8767,13.0557,25.7053
2019-10-02,3.38,,27.5312,45.5518,50.3988,46.8469,16.5362,11.6806,12.567,24.985
2019-10-03,3.382,,27.5395,45.7679,52.2216,46.9433,16.5267,11.6071,12.7465,25.2073
2019-10-04,3.42,,27.6718,46.3868,54.7046,48.0421,16.4789,11.5728,12.9958,25.3629
2019-10-07,3.332,,27.1589,45.4732,55.2571,47.7241,16.2113,11.2003,12.7465,24.8472
2019-10-08,3.2,,27.0431,45.3848,54.4677,47.0011,16.1252,11.1807,12.5171,24.416
2019-10-09,3.234,,27.4733,45.6795,54.0731,47.4734,16.2495,11.2101,12.4872,24.5938
2019-10-10,3.238,,27.6718,44.8249,54.2507,47.4734,16.5458,11.2591,12.946,24.7094
2019-10-11,3.4,,28.0276,45.1196,54.8427,47.8976,16.5076,11.6022,13.2551,25.1318
2019-10-14,3.398,,28.4991,45.4339,54.4381,47.4349,17.0333,11.6414,13.2152,25.2073
2019-10-15,3.388,,28.4329,45.3357,53.9152,45.6709,16.6318,11.6561,13.4546,25.2073
2019-10-16,3.4,,28.8383,46.1118,54.3987,46.0757,16.6414,11.9453,13.315,25.5363
2019-10-17,3.452,,28.6646,45.876,55.8985,45.4781,16.7943,11.8816,13.3649,25.194
2019-10-18,3.424,,28.3254,46.2689,56.4313,45.6902,16.8899,11.9404,13.1255,25.2073
2019-10-21,3.416,,28.7886,46.4163,56.1551,45.7094,17.798,11.9796,13.1953,25.354
2019-10-22,3.52,,29.6821,46.3082,57.0333,45.5456,17.7119,12.1267,13.2452,25.354
2019-10-23,3.506,,30.104,46.0823,56.2932,44.7262,17.5399,12.6659,13.2751,25.3763
2019-10-24,3.56,,30.2446,46.1118,56.0465,44.9287,17.3487,12.7933,12.9659,25.2518
2019-10-25,3.584,,30.4432,46.2493,56.757,43.8201,17.3774,12.4551,13.2053,25.234
2019-10-28,3.632,,30.8568,46.1805,56.6386,44.4853,17.3009,12.5384,13.1754,25.4785
2019-10-29,3.676,,30.3108,45.9841,57.0333,45.16,17.6259,12.509,13.0756,25.2029
